x,y
155.3353417,316.66962175
123.74801145,334.82570065
428.5259324,281.1537832
460.0601747,275.2079328
130.75562085,334.82570065
393.43479745,305.3618884
470.51850085,281.31304705
316.5103579,280.7290796
211.44930485,292.5146045
383.02955925,274.8894051
337.48009815,280.8352555
438.9311706,299.46912595
470.359237,317.83755665
144.87701555,310.5645075
176.251994,341.09007875
333.9232055,299.0975103
456.39710615,317.7844687
232.4190451,304.77792095
127.35799205,316.56344585
445.88569205,311.67935445
274.3585256,317.09432535
186.869584,310.72377135
421.4121471,305.4680643
431.9235612,311.6262665
253.4418733,292.67386835
204.33551955,316.8288856
225.35834775,316.9350615
379.52575455,280.99451935
452.89330145,311.67935445
120.24420675,340.87772695
207.94550015,286.40949025
165.8467558,310.61759545
144.7177517,347.0890171
298.8851585,311.095387
193.93028135,298.5666308
435.48045385,293.3640117
498.3896746,317.94373255
330.5255767,280.78216755
330.36631285,317.30667715
498.54893845,281.41922295
474.02230555,287.4181613
372.51814515,280.9414314
239.4266545,292.6207804
309.34348465,317.2535892
365.4574478,293.09857195
211.34312895,316.88197355
190.3733887,304.6186571
428.57902035,268.99664265
382.8702954,311.4139147
148.3277323,316.66962175
480.92373905,311.78553035
484.42754375,305.73350405
323.46487935,292.9393081
431.9235612,299.416038
214.9000216,310.82994725
137.86940615,310.51141955
214.84693365,322.9870878
144.77083965,334.8787886
442.5411512,281.20687115
127.3049041,328.7205864
439.0373465,275.1017569
491.4882411,293.5763635
127.25181615,340.9308149
459.8478229,323.88958295
291.8775491,311.095387
221.85454305,310.82994725
372.4650572,293.1516599
137.7101423,347.03592915
449.4425847,305.5742402
368.90816455,311.36082675
211.3962169,304.724833
435.5335418,281.20687115
487.9844364,287.47124925
330.4194008,305.1495366
172.80127725,322.82782395
256.89259005,310.93612315
424.96903975,287.25889745
442.48806325,293.3640117
397.04477805,274.94249305
197.32791015,328.98602615
204.2824316,329.0391141
502.1058311,263.15696815
263.9532874,298.83207055
151.831537,322.72164805
218.4038263,304.724833
277.8623303,323.1994396
495.04513375,275.3141087
477.3668464,317.8906446
477.4730223,293.52327555
491.594417,269.20899445
134.25942555,340.9308149
495.0982217,263.15696815
263.8471115,323.14635165
162.39603905,304.5124812
305.9989438,286.7811059
442.38188735,317.73138075
351.38914105,305.20262455
141.3201229,328.77367435
295.43444175,304.99027275
442.5411512,269.0497306
386.42718805,305.3618884
460.00708675,287.36507335
277.9685062,286.67493
232.36595715,316.9350615
281.4723109,292.78004425
425.0221277,275.04866895
158.7329705,347.14210505
340.98390285,286.94036975
256.945678,298.7789826
134.2063376,353.1410434
502.05274315,275.36719665
207.94550015,298.61971875
120.1911188,353.08795545
288.3737444,317.1474133
386.53336395,280.99451935
277.91541825,298.8851585
452.99947735,287.3119854
165.79366785,334.9849645
249.8318927,323.0932637
141.213947,353.1410434
260.3433068,317.0412374
428.4197565,305.52115225
130.8087088,322.6685601
228.96832835,286.51566615
228.9152404,298.6728067
319.96107465,286.83419385
438.87808265,311.6262665
151.7253611,347.0890171
432.0297371,275.1017569
484.5868076,269.20899445
284.9761156,286.72801795
179.80888665,322.82782395
172.90745315,298.4604549
344.38153165,317.3597651
501.9996552,287.5243372
155.38842965,304.5124812
120.2972947,328.7205864
323.5179673,280.78216755
446.0449559,275.15484485
358.50292635,280.88834345
456.4501941,293.41709965
477.52611025,281.366135
295.3813538,317.20050125
365.51053575,280.9414314
445.99186795,287.3119854
354.89294575,311.3077388
354.99912165,286.9934577
452.9463894,299.5222139
200.93789075,286.40949025
456.50328205,281.2599591
172.8543652,310.6706834
439.09043445,262.94461635
270.8547209,323.1994396
463.40471555,317.83755665
330.47248875,292.99239605
179.7557987,335.03805245
382.9764713,287.0996336
466.8554323,323.9426709
225.4114357,304.77792095
232.47213305,292.6207804
141.26703495,340.98390285
361.9536431,299.15059825
288.42683235,304.99027275
347.9384243,299.0975103
484.4806317,293.52327555
151.88462495,310.5645075
225.46452365,292.56769245
267.4570921,292.7269563
162.3429511,316.7227097
291.93063705,298.93824645
249.88498065,310.93612315
183.3657793,316.77579765
494.8858699,311.8386183
253.38878535,304.88409685
316.404182,305.09644865
165.89984375,298.4604549
127.1987282,353.08795545
316.35109405,317.2535892
421.518323,281.1537832
298.9913344,286.7811059
344.48770755,280.8352555
148.38082025,304.45939325
193.82410545,322.8809119
340.87772695,311.25465085
116.79349,322.61547215
274.41161355,304.9371848
481.0830029,263.1038802
368.9612525,287.04654565
351.442229,293.045484
467.01469615,287.36507335
162.28986315,328.87985025
365.3512719,317.465941
491.3820652,317.94373255
235.9228498,298.72589465
302.3889632,317.20050125
214.9000216,298.61971875
155.2291658,341.0369908
382.92338335,299.25677415
144.8239276,322.72164805
337.48009815,292.99239605
361.90055515,311.36082675
379.41957865,305.30880045
242.8242833,323.0932637
375.9688619,287.04654565
221.907631,298.6728067
281.366135,317.1474133
358.39675045,317.41285305
449.49567265,293.41709965
239.4266545,304.8310089
183.41886725,292.4084286
428.47284445,293.31092375
197.43408605,292.46151655
155.28225375,328.8267623
484.3744558,317.8906446
456.4501941,305.62732815
368.9612525,299.2036862
501.8934793,311.89170625
498.44276255,305.786592
487.93134845,299.6283898
340.9308149,299.0975103
491.54132905,281.41922295
312.95346525,298.9913344
309.44966055,292.88622015
256.945678,286.62184205
207.8924122,310.7768593
193.8771934,310.72377135
305.8927679,311.14847495
158.8391464,322.774736
452.8402135,323.88958295
183.31269135,328.9329382
417.96143035,299.36295005
270.9608968,286.67493
204.44169545,292.5146045
453.0525653,275.15484485
263.9532874,286.62184205
446.09804385,262.94461635
193.7710175,335.0911404
480.976827,287.4181613
270.90780885,310.9892111
480.8706511,323.99575885
263.90019945,310.9892111
459.9539988,299.5222139
431.97664915,287.25889745
432.08282505,262.8915284
438.98425855,287.3119854
221.96071895,286.4625782
326.96868405,286.8872818
284.8699397,311.04229905
221.85454305,322.9870878
190.42647665,292.46151655
200.93789075,298.5666308
390.03716865,274.94249305
298.83207055,323.3056155
480.976827,299.6283898
284.92302765,298.8851585
449.38949675,317.7844687
477.41993435,305.6804161
281.41922295,304.9371848
312.9003773,311.14847495
389.93099275,299.25677415
351.38914105,317.41285305
449.49567265,281.2599591
369.01434045,274.83631715
291.82446115,323.25252755
463.40471555,305.62732815
214.95310955,286.4625782
376.02194985,274.8894051
242.87737125,310.8830352
474.02230555,275.26102075
246.38117595,316.98814945
186.92267195,298.51354285
235.97593775,286.51566615
372.3588813,317.465941
239.37356655,316.98814945
351.49531695,280.88834345
477.5791982,269.1559065
186.81649605,322.8809119
246.38117595,304.8310089
456.55637,269.10281855
123.6949235,359.1930697
333.97629345,286.8872818
218.35073835,316.88197355
172.80127725,334.9849645
488.0906123,263.1038802
424.96903975,299.416038
344.4346196,305.20262455
473.8630417,323.9426709
347.99151225,286.94036975
298.93824645,298.93824645
379.4726666,293.1516599
326.9155961,299.04442235
291.983725,286.72801795
319.9079867,299.04442235
204.3886075,304.67174505
463.4578035,293.4701876
375.91577395,299.2036862
326.9155961,311.2015629
176.3581699,316.7227097
354.9460337,299.15059825
211.290041,329.0391141
347.88533635,311.3077388
158.78605845,334.93187655
494.9920458,287.47124925
169.3505605,316.7227097
319.9079867,311.2015629
463.51089145,281.31304705
235.8166739,323.04017575
242.98354715,286.5687541
197.32791015,316.8288856
473.91612965,311.78553035
309.3965726,305.0433607
337.37392225,317.3597651
470.41232495,305.6804161
302.44205115,292.88622015
228.8090645,323.04017575
228.86215245,310.82994725
267.40400415,304.9371848
249.9380686,298.7789826
176.30508195,328.9329382
235.86976185,310.8830352
260.39639475,304.88409685
498.54893845,269.2620824
169.40364845,304.56556915
362.00673105,286.9934577
123.74801145,346.9828412
421.46523505,293.31092375
148.27464435,328.8267623
295.43444175,292.8331322
393.4878854,281.0476073
358.39675045,305.2557125
242.9304592,298.72589465
176.41125785,304.56556915
414.4045377,305.4680643
267.3509162,317.09432535
424.9159518,311.57317855
467.0677841,275.2079328
253.3356974,317.0412374
435.58662975,268.99664265
274.4647015,292.78004425
197.3809981,304.67174505
302.3889632,305.0433607
466.9616082,299.57530185
200.8848028,310.7768593
130.7025329,347.03592915
323.4117914,305.09644865
249.99115655,286.5687541
186.7634081,335.03805245
137.76323025,334.8787886
365.40435985,305.2557125
137.8163182,322.6685601
162.2367752,341.0369908
470.5715888,269.1559065
488.03752435,275.3141087
333.87011755,311.25465085
498.4958505,293.5763635
484.53371965,281.366135
183.41886725,304.6186571
435.4273659,305.52115225
305.94585585,298.9913344
463.5639794,269.10281855
491.43515315,305.73350405
134.3125135,328.77367435
389.9840807,287.0996336
375.91577395,311.4139147
190.3733887,316.77579765
141.3201229,316.6165338
176.4643458,292.4084286
134.36560145,316.6165338
120.35038265,316.56344585
372.41196925,305.30880045
123.8010994,322.61547215
474.0753935,263.05079225
501.94656725,299.68147775
487.93134845,311.8386183
207.83932425,322.93399985
323.35870345,317.30667715
288.42683235,292.8331322
179.91506255,298.51354285
312.95346525,286.83419385
270.90780885,298.83207055
260.4494827,292.7269563
148.27464435,340.98390285
417.9083424,311.57317855
165.8467558,322.774736
386.480276,293.20474785
316.45726995,292.9393081
277.8623303,311.04229905
344.4346196,293.045484
358.4498384,293.09857195
246.4342639,292.67386835
459.90091085,311.7324424
466.90852025,311.7324424
337.4270102,305.1495366
396.93860215,299.3098621
169.29747255,328.87985025
410.900733,311.5200906
200.83171485,322.93399985
190.32030075,328.98602615
470.4654129,293.4701876
473.9692176,299.57530185
256.8395021,323.14635165
179.8619746,310.6706834
158.89223435,310.61759545
481.02991495,275.26102075
494.93895785,299.68147775
169.2443846,341.09007875
151.77844905,334.93187655
