NodeA,NodeB,Weights
0,49,1.0
0,168,1.0
0,303,1.0
0,365,1.0
0,367,1.0
0,297,1.0
1,4,1.0
1,347,1.0
1,57,1.0
1,29,1.0
1,136,1.0
1,62,1.0
2,178,1.0
2,71,1.0
2,58,1.0
2,261,1.0
2,128,1.0
2,242,1.0
3,335,1.0
3,233,1.0
3,268,1.0
3,138,1.0
3,403,1.0
3,60,1.0
4,1,1.0
4,347,1.0
4,57,1.0
4,406,1.0
4,361,1.0
4,59,1.0
5,100,1.0
5,201,1.0
5,332,1.0
5,369,1.0
5,393,1.0
5,259,1.0
6,305,1.0
6,141,1.0
6,355,1.0
6,149,1.0
6,261,1.0
6,220,1.0
7,137,1.0
7,37,1.0
7,10,1.0
7,125,1.0
7,378,1.0
7,94,1.0
8,232,1.0
8,211,1.0
8,166,1.0
8,249,1.0
8,159,1.0
8,265,1.0
9,266,1.0
9,251,1.0
9,78,1.0
9,262,1.0
9,114,1.0
9,27,1.0
10,37,1.0
10,180,1.0
10,137,1.0
10,274,1.0
10,7,1.0
10,139,1.0
11,53,1.0
11,284,1.0
11,147,1.0
11,230,1.0
11,241,1.0
11,357,1.0
12,153,1.0
12,87,1.0
12,16,1.0
12,213,1.0
12,255,1.0
12,192,1.0
13,165,1.0
13,55,1.0
13,402,1.0
13,31,1.0
13,365,1.0
13,49,1.0
14,405,1.0
14,350,1.0
14,196,1.0
14,155,1.0
14,282,1.0
14,346,1.0
15,219,1.0
15,290,1.0
15,163,1.0
15,292,1.0
15,221,1.0
15,298,1.0
16,255,1.0
16,153,1.0
16,12,1.0
16,95,1.0
16,87,1.0
16,390,1.0
17,158,1.0
17,208,1.0
17,277,1.0
17,84,1.0
17,173,1.0
17,70,1.0
18,368,1.0
18,367,1.0
18,365,1.0
18,49,1.0
18,370,1.0
18,122,1.0
19,28,1.0
19,126,1.0
19,23,1.0
19,390,1.0
19,334,1.0
19,391,1.0
20,333,1.0
20,205,1.0
20,113,1.0
20,120,1.0
20,336,1.0
20,142,1.0
21,225,1.0
21,401,1.0
21,342,1.0
21,150,1.0
21,224,1.0
21,31,1.0
22,332,1.0
22,121,1.0
22,357,1.0
22,284,1.0
22,230,1.0
22,334,1.0
23,126,1.0
23,334,1.0
23,19,1.0
23,382,1.0
23,28,1.0
23,395,1.0
24,389,1.0
24,380,1.0
24,42,1.0
24,167,1.0
24,159,1.0
24,338,1.0
25,308,1.0
25,45,1.0
25,364,1.0
25,281,1.0
25,171,1.0
25,26,1.0
26,103,1.0
26,281,1.0
26,45,1.0
26,273,1.0
26,269,1.0
26,25,1.0
27,114,1.0
27,41,1.0
27,328,1.0
27,143,1.0
27,139,1.0
27,203,1.0
28,19,1.0
28,390,1.0
28,391,1.0
28,126,1.0
28,23,1.0
28,309,1.0
29,62,1.0
29,90,1.0
29,160,1.0
29,1,1.0
29,324,1.0
29,4,1.0
30,148,1.0
30,265,1.0
30,245,1.0
30,123,1.0
30,232,1.0
30,8,1.0
31,402,1.0
31,150,1.0
31,165,1.0
31,401,1.0
31,13,1.0
31,21,1.0
32,127,1.0
32,67,1.0
32,106,1.0
32,343,1.0
32,324,1.0
32,119,1.0
33,64,1.0
33,226,1.0
33,258,1.0
33,247,1.0
33,386,1.0
33,304,1.0
34,250,1.0
34,270,1.0
34,111,1.0
34,377,1.0
34,195,1.0
34,132,1.0
35,77,1.0
35,210,1.0
35,325,1.0
35,207,1.0
35,140,1.0
35,244,1.0
36,192,1.0
36,213,1.0
36,87,1.0
36,216,1.0
36,172,1.0
36,373,1.0
37,10,1.0
37,137,1.0
37,180,1.0
37,7,1.0
37,274,1.0
37,280,1.0
38,375,1.0
38,311,1.0
38,133,1.0
38,177,1.0
38,43,1.0
38,260,1.0
39,220,1.0
39,355,1.0
39,141,1.0
39,110,1.0
39,302,1.0
39,134,1.0
40,237,1.0
40,189,1.0
40,72,1.0
40,101,1.0
40,302,1.0
40,116,1.0
41,143,1.0
41,27,1.0
41,139,1.0
41,114,1.0
41,328,1.0
41,274,1.0
42,159,1.0
42,389,1.0
42,166,1.0
42,24,1.0
42,380,1.0
42,307,1.0
43,194,1.0
43,177,1.0
43,142,1.0
43,375,1.0
43,113,1.0
43,38,1.0
44,388,1.0
44,66,1.0
44,188,1.0
44,289,1.0
44,387,1.0
44,384,1.0
45,281,1.0
45,25,1.0
45,308,1.0
45,26,1.0
45,364,1.0
45,103,1.0
46,356,1.0
46,339,1.0
46,331,1.0
46,293,1.0
46,322,1.0
46,70,1.0
47,337,1.0
47,99,1.0
47,105,1.0
47,128,1.0
47,243,1.0
47,151,1.0
48,363,1.0
48,69,1.0
48,200,1.0
48,100,1.0
48,201,1.0
48,272,1.0
49,0,1.0
49,365,1.0
49,367,1.0
49,168,1.0
49,18,1.0
49,303,1.0
50,309,1.0
50,373,1.0
50,172,1.0
50,391,1.0
50,216,1.0
50,390,1.0
51,360,1.0
51,256,1.0
51,217,1.0
51,312,1.0
51,264,1.0
51,50,1.0
52,385,1.0
52,154,1.0
52,199,1.0
52,222,1.0
52,387,1.0
52,313,1.0
53,284,1.0
53,11,1.0
53,230,1.0
53,147,1.0
53,35,1.0
53,210,1.0
54,65,1.0
54,224,1.0
54,315,1.0
54,342,1.0
54,319,1.0
54,225,1.0
55,13,1.0
55,165,1.0
55,402,1.0
55,365,1.0
55,367,1.0
55,181,1.0
56,248,1.0
56,374,1.0
56,314,1.0
56,396,1.0
56,306,1.0
56,182,1.0
57,347,1.0
57,406,1.0
57,301,1.0
57,4,1.0
57,1,1.0
57,117,1.0
58,261,1.0
58,71,1.0
58,149,1.0
58,2,1.0
58,305,1.0
58,178,1.0
59,136,1.0
59,361,1.0
59,97,1.0
59,326,1.0
59,122,1.0
59,4,1.0
60,128,1.0
60,138,1.0
60,233,1.0
60,105,1.0
60,3,1.0
60,99,1.0
61,354,1.0
61,164,1.0
61,88,1.0
61,398,1.0
61,218,1.0
61,404,1.0
62,90,1.0
62,29,1.0
62,160,1.0
62,381,1.0
62,324,1.0
62,343,1.0
63,228,1.0
63,157,1.0
63,286,1.0
63,239,1.0
63,153,1.0
63,16,1.0
64,33,1.0
64,247,1.0
64,386,1.0
64,226,1.0
64,238,1.0
64,258,1.0
65,54,1.0
65,315,1.0
65,224,1.0
65,319,1.0
65,342,1.0
65,267,1.0
66,289,1.0
66,44,1.0
66,388,1.0
66,384,1.0
66,188,1.0
66,295,1.0
67,343,1.0
67,32,1.0
67,324,1.0
67,127,1.0
67,106,1.0
67,160,1.0
68,214,1.0
68,264,1.0
68,357,1.0
68,312,1.0
68,121,1.0
68,147,1.0
69,200,1.0
69,363,1.0
69,48,1.0
69,145,1.0
69,300,1.0
69,369,1.0
70,84,1.0
70,293,1.0
70,339,1.0
70,158,1.0
70,17,1.0
70,46,1.0
71,58,1.0
71,2,1.0
71,261,1.0
71,178,1.0
71,149,1.0
71,242,1.0
72,302,1.0
72,237,1.0
72,40,1.0
72,134,1.0
72,189,1.0
72,164,1.0
73,392,1.0
73,344,1.0
73,174,1.0
73,285,1.0
73,96,1.0
73,310,1.0
74,383,1.0
74,131,1.0
74,227,1.0
74,276,1.0
74,83,1.0
74,182,1.0
75,170,1.0
75,240,1.0
75,238,1.0
75,267,1.0
75,386,1.0
75,319,1.0
76,242,1.0
76,244,1.0
76,144,1.0
76,325,1.0
76,210,1.0
76,178,1.0
77,35,1.0
77,207,1.0
77,140,1.0
77,210,1.0
77,294,1.0
77,325,1.0
78,251,1.0
78,9,1.0
78,266,1.0
78,328,1.0
78,114,1.0
78,105,1.0
79,80,1.0
79,397,1.0
79,299,1.0
79,229,1.0
79,318,1.0
79,396,1.0
80,79,1.0
80,299,1.0
80,397,1.0
80,229,1.0
80,396,1.0
80,374,1.0
81,91,1.0
81,283,1.0
81,186,1.0
81,321,1.0
81,89,1.0
81,371,1.0
82,379,1.0
82,108,1.0
82,115,1.0
82,317,1.0
82,254,1.0
82,330,1.0
83,198,1.0
83,227,1.0
83,349,1.0
83,383,1.0
83,74,1.0
83,122,1.0
84,70,1.0
84,158,1.0
84,293,1.0
84,17,1.0
84,339,1.0
84,208,1.0
85,152,1.0
85,263,1.0
85,92,1.0
85,252,1.0
85,400,1.0
85,205,1.0
86,352,1.0
86,110,1.0
86,403,1.0
86,268,1.0
86,321,1.0
86,89,1.0
87,213,1.0
87,12,1.0
87,153,1.0
87,192,1.0
87,16,1.0
87,36,1.0
88,164,1.0
88,398,1.0
88,294,1.0
88,61,1.0
88,354,1.0
88,140,1.0
89,321,1.0
89,129,1.0
89,275,1.0
89,351,1.0
89,91,1.0
89,86,1.0
90,62,1.0
90,160,1.0
90,381,1.0
90,29,1.0
90,196,1.0
90,347,1.0
91,81,1.0
91,283,1.0
91,186,1.0
91,371,1.0
91,89,1.0
91,321,1.0
92,400,1.0
92,152,1.0
92,85,1.0
92,118,1.0
92,202,1.0
92,333,1.0
93,135,1.0
93,322,1.0
93,331,1.0
93,181,1.0
93,356,1.0
93,175,1.0
94,378,1.0
94,179,1.0
94,125,1.0
94,291,1.0
94,246,1.0
94,130,1.0
95,255,1.0
95,16,1.0
95,153,1.0
95,19,1.0
95,126,1.0
95,28,1.0
96,285,1.0
96,329,1.0
96,392,1.0
96,348,1.0
96,73,1.0
96,369,1.0
97,326,1.0
97,361,1.0
97,212,1.0
97,59,1.0
97,190,1.0
97,136,1.0
98,340,1.0
98,162,1.0
98,310,1.0
98,257,1.0
98,174,1.0
98,185,1.0
99,337,1.0
99,47,1.0
99,278,1.0
99,359,1.0
99,60,1.0
99,151,1.0
100,5,1.0
100,201,1.0
100,369,1.0
100,348,1.0
100,48,1.0
100,197,1.0
101,189,1.0
101,116,1.0
101,40,1.0
101,144,1.0
101,237,1.0
101,244,1.0
102,231,1.0
102,130,1.0
102,291,1.0
102,234,1.0
102,223,1.0
102,179,1.0
103,26,1.0
103,273,1.0
103,281,1.0
103,269,1.0
103,336,1.0
103,45,1.0
104,376,1.0
104,338,1.0
104,327,1.0
104,167,1.0
104,313,1.0
104,380,1.0
105,128,1.0
105,60,1.0
105,138,1.0
105,47,1.0
105,178,1.0
105,2,1.0
106,127,1.0
106,32,1.0
106,67,1.0
106,350,1.0
106,196,1.0
106,405,1.0
107,287,1.0
107,280,1.0
107,246,1.0
107,146,1.0
107,323,1.0
107,125,1.0
108,317,1.0
108,82,1.0
108,379,1.0
108,330,1.0
108,115,1.0
108,193,1.0
109,119,1.0
109,176,1.0
109,112,1.0
109,67,1.0
109,343,1.0
109,279,1.0
110,86,1.0
110,352,1.0
110,403,1.0
110,39,1.0
110,321,1.0
110,220,1.0
111,195,1.0
111,250,1.0
111,204,1.0
111,34,1.0
111,124,1.0
111,270,1.0
112,176,1.0
112,109,1.0
112,119,1.0
112,279,1.0
112,324,1.0
112,343,1.0
113,205,1.0
113,142,1.0
113,194,1.0
113,20,1.0
113,43,1.0
113,333,1.0
114,328,1.0
114,27,1.0
114,41,1.0
114,143,1.0
114,251,1.0
114,362,1.0
115,254,1.0
115,379,1.0
115,82,1.0
115,169,1.0
115,108,1.0
115,288,1.0
116,144,1.0
116,101,1.0
116,244,1.0
116,189,1.0
116,242,1.0
116,40,1.0
117,282,1.0
117,301,1.0
117,155,1.0
117,406,1.0
117,346,1.0
117,57,1.0
118,202,1.0
118,400,1.0
118,306,1.0
118,92,1.0
118,314,1.0
118,152,1.0
119,109,1.0
119,176,1.0
119,112,1.0
119,32,1.0
119,67,1.0
119,127,1.0
120,336,1.0
120,333,1.0
120,269,1.0
120,20,1.0
120,273,1.0
120,205,1.0
121,357,1.0
121,22,1.0
121,332,1.0
121,68,1.0
121,334,1.0
121,284,1.0
122,349,1.0
122,370,1.0
122,184,1.0
122,198,1.0
122,83,1.0
122,59,1.0
123,271,1.0
123,245,1.0
123,265,1.0
123,307,1.0
123,345,1.0
123,30,1.0
124,204,1.0
124,193,1.0
124,195,1.0
124,330,1.0
124,111,1.0
124,317,1.0
125,378,1.0
125,246,1.0
125,94,1.0
125,280,1.0
125,179,1.0
125,107,1.0
126,23,1.0
126,19,1.0
126,334,1.0
126,28,1.0
126,382,1.0
126,390,1.0
127,32,1.0
127,106,1.0
127,67,1.0
127,343,1.0
127,196,1.0
127,381,1.0
128,60,1.0
128,105,1.0
128,138,1.0
128,233,1.0
128,2,1.0
128,47,1.0
129,89,1.0
129,275,1.0
129,321,1.0
129,351,1.0
129,359,1.0
129,403,1.0
130,291,1.0
130,102,1.0
130,179,1.0
130,231,1.0
130,94,1.0
130,234,1.0
131,74,1.0
131,276,1.0
131,383,1.0
131,182,1.0
131,227,1.0
131,396,1.0
132,175,1.0
132,377,1.0
132,270,1.0
132,34,1.0
132,366,1.0
132,331,1.0
133,311,1.0
133,260,1.0
133,206,1.0
133,38,1.0
133,191,1.0
133,375,1.0
134,302,1.0
134,72,1.0
134,237,1.0
134,354,1.0
134,39,1.0
134,61,1.0
135,93,1.0
135,181,1.0
135,322,1.0
135,331,1.0
135,165,1.0
135,402,1.0
136,59,1.0
136,361,1.0
136,97,1.0
136,1,1.0
136,184,1.0
136,370,1.0
137,37,1.0
137,7,1.0
137,10,1.0
137,180,1.0
137,125,1.0
137,246,1.0
138,233,1.0
138,60,1.0
138,128,1.0
138,3,1.0
138,335,1.0
138,105,1.0
139,274,1.0
139,143,1.0
139,41,1.0
139,180,1.0
139,10,1.0
139,27,1.0
140,207,1.0
140,294,1.0
140,77,1.0
140,398,1.0
140,35,1.0
140,88,1.0
141,355,1.0
141,6,1.0
141,305,1.0
141,220,1.0
141,39,1.0
141,149,1.0
142,194,1.0
142,113,1.0
142,43,1.0
142,205,1.0
142,177,1.0
142,20,1.0
143,41,1.0
143,139,1.0
143,274,1.0
143,27,1.0
143,114,1.0
143,180,1.0
144,244,1.0
144,116,1.0
144,242,1.0
144,101,1.0
144,76,1.0
144,189,1.0
145,300,1.0
145,200,1.0
145,183,1.0
145,69,1.0
145,353,1.0
145,363,1.0
146,323,1.0
146,287,1.0
146,187,1.0
146,107,1.0
146,203,1.0
146,280,1.0
147,241,1.0
147,11,1.0
147,341,1.0
147,399,1.0
147,53,1.0
147,68,1.0
148,30,1.0
148,265,1.0
148,245,1.0
148,211,1.0
148,232,1.0
148,249,1.0
149,261,1.0
149,305,1.0
149,58,1.0
149,6,1.0
149,71,1.0
149,141,1.0
150,401,1.0
150,31,1.0
150,402,1.0
150,21,1.0
150,165,1.0
150,225,1.0
151,235,1.0
151,243,1.0
151,337,1.0
151,99,1.0
151,47,1.0
151,278,1.0
152,85,1.0
152,92,1.0
152,400,1.0
152,263,1.0
152,118,1.0
152,333,1.0
153,12,1.0
153,16,1.0
153,87,1.0
153,255,1.0
153,213,1.0
153,95,1.0
154,199,1.0
154,52,1.0
154,387,1.0
154,385,1.0
154,188,1.0
154,222,1.0
155,282,1.0
155,346,1.0
155,117,1.0
155,236,1.0
155,301,1.0
155,14,1.0
156,362,1.0
156,203,1.0
156,187,1.0
156,323,1.0
156,289,1.0
156,27,1.0
157,286,1.0
157,63,1.0
157,228,1.0
157,239,1.0
157,153,1.0
157,12,1.0
158,17,1.0
158,84,1.0
158,208,1.0
158,70,1.0
158,277,1.0
158,293,1.0
159,42,1.0
159,166,1.0
159,389,1.0
159,24,1.0
159,8,1.0
159,124,1.0
160,381,1.0
160,90,1.0
160,196,1.0
160,62,1.0
160,350,1.0
160,29,1.0
161,298,1.0
161,215,1.0
161,295,1.0
161,163,1.0
161,197,1.0
161,219,1.0
162,98,1.0
162,257,1.0
162,340,1.0
162,185,1.0
162,310,1.0
162,316,1.0
163,219,1.0
163,298,1.0
163,15,1.0
163,161,1.0
163,290,1.0
163,215,1.0
164,88,1.0
164,61,1.0
164,354,1.0
164,398,1.0
164,294,1.0
164,72,1.0
165,13,1.0
165,402,1.0
165,31,1.0
165,55,1.0
165,150,1.0
165,135,1.0
166,159,1.0
166,42,1.0
166,8,1.0
166,389,1.0
166,232,1.0
166,123,1.0
167,380,1.0
167,338,1.0
167,104,1.0
167,24,1.0
167,376,1.0
167,389,1.0
168,303,1.0
168,0,1.0
168,297,1.0
168,49,1.0
168,171,1.0
168,365,1.0
169,288,1.0
169,254,1.0
169,115,1.0
169,358,1.0
169,221,1.0
169,379,1.0
170,75,1.0
170,267,1.0
170,319,1.0
170,240,1.0
170,238,1.0
170,315,1.0
171,364,1.0
171,297,1.0
171,308,1.0
171,303,1.0
171,25,1.0
171,168,1.0
172,373,1.0
172,216,1.0
172,50,1.0
172,309,1.0
172,217,1.0
172,360,1.0
173,320,1.0
173,277,1.0
173,208,1.0
173,316,1.0
173,17,1.0
173,185,1.0
174,344,1.0
174,310,1.0
174,73,1.0
174,340,1.0
174,98,1.0
174,392,1.0
175,132,1.0
175,377,1.0
175,270,1.0
175,93,1.0
175,322,1.0
175,135,1.0
176,112,1.0
176,109,1.0
176,119,1.0
176,343,1.0
176,324,1.0
176,279,1.0
177,43,1.0
177,375,1.0
177,194,1.0
177,38,1.0
177,142,1.0
177,311,1.0
178,2,1.0
178,71,1.0
178,58,1.0
178,76,1.0
178,105,1.0
178,128,1.0
179,94,1.0
179,291,1.0
179,378,1.0
179,130,1.0
179,125,1.0
179,102,1.0
180,10,1.0
180,274,1.0
180,37,1.0
180,139,1.0
180,137,1.0
180,143,1.0
181,135,1.0
181,93,1.0
181,322,1.0
181,13,1.0
181,165,1.0
181,55,1.0
182,276,1.0
182,396,1.0
182,374,1.0
182,131,1.0
182,74,1.0
182,56,1.0
183,353,1.0
183,300,1.0
183,296,1.0
183,145,1.0
183,304,1.0
183,200,1.0
184,370,1.0
184,122,1.0
184,349,1.0
184,368,1.0
184,136,1.0
184,18,1.0
185,316,1.0
185,257,1.0
185,162,1.0
185,320,1.0
185,173,1.0
185,98,1.0
186,283,1.0
186,371,1.0
186,91,1.0
186,81,1.0
186,275,1.0
186,129,1.0
187,323,1.0
187,203,1.0
187,146,1.0
187,156,1.0
187,287,1.0
187,362,1.0
188,387,1.0
188,388,1.0
188,199,1.0
188,44,1.0
188,154,1.0
188,66,1.0
189,101,1.0
189,40,1.0
189,237,1.0
189,116,1.0
189,72,1.0
189,144,1.0
190,394,1.0
190,212,1.0
190,326,1.0
190,318,1.0
190,97,1.0
190,229,1.0
191,206,1.0
191,272,1.0
191,260,1.0
191,133,1.0
191,200,1.0
191,69,1.0
192,36,1.0
192,213,1.0
192,87,1.0
192,12,1.0
192,373,1.0
192,172,1.0
193,330,1.0
193,124,1.0
193,317,1.0
193,204,1.0
193,108,1.0
193,195,1.0
194,43,1.0
194,142,1.0
194,177,1.0
194,113,1.0
194,375,1.0
194,205,1.0
195,111,1.0
195,204,1.0
195,250,1.0
195,124,1.0
195,34,1.0
195,193,1.0
196,381,1.0
196,350,1.0
196,160,1.0
196,405,1.0
196,90,1.0
196,14,1.0
197,259,1.0
197,295,1.0
197,215,1.0
197,393,1.0
197,161,1.0
197,201,1.0
198,83,1.0
198,349,1.0
198,227,1.0
198,122,1.0
198,383,1.0
198,370,1.0
199,387,1.0
199,154,1.0
199,188,1.0
199,52,1.0
199,388,1.0
199,385,1.0
200,69,1.0
200,145,1.0
200,300,1.0
200,363,1.0
200,48,1.0
200,183,1.0
201,369,1.0
201,100,1.0
201,5,1.0
201,348,1.0
201,329,1.0
201,197,1.0
202,118,1.0
202,306,1.0
202,400,1.0
202,314,1.0
202,248,1.0
202,92,1.0
203,187,1.0
203,156,1.0
203,323,1.0
203,362,1.0
203,146,1.0
203,27,1.0
204,124,1.0
204,195,1.0
204,111,1.0
204,193,1.0
204,250,1.0
204,330,1.0
205,113,1.0
205,20,1.0
205,142,1.0
205,333,1.0
205,194,1.0
205,120,1.0
206,191,1.0
206,260,1.0
206,272,1.0
206,133,1.0
206,311,1.0
206,200,1.0
207,140,1.0
207,77,1.0
207,294,1.0
207,35,1.0
207,398,1.0
